Subject,Category,Access Level,Tool ID,File Name,File Location,HTML File Name CN,HTML File Name EN,Chinese Name,English Name,Search Keywords
math;互動遊戲,Games,free,G01-multiplication,G01-multiplication,Games/G01-multiplication,G01-cn.html,,乘法拔河大挑戰,,乘法;基本乘法;乘法表;九九乘法表;四則運算;口算;心算;乘法交換性質;multiplication;times table;arithmetic
math;互動遊戲,Games,free,G02-quadrilateral,G02-quadrilateral,Games/G02-quadrilateral,G02-cn.html,,圖形快落,,圖形;平面圖形;四邊形;正方形;長方形;平行四邊形;梯形;菱形;幾何;邊;角;quadrilateral;geometry;shape
math;互動遊戲,Games,free,G03-100x100multiplication,G03-100x100multiplication,Games/G03-100x100multiplication,G03-cn.html,G03-en.html,乘法競技場,Multiplication Arena,乘法;乘法運算;多位數;100以內的數;四則運算;心算;口算;估算;乘法表;multiplication;arena;arithmetic
math;互動遊戲,Games,free,G04-starry-addition-and-subtraction,G04-starry-addition-and-subtraction,Games/G04-starry-addition-and-subtraction,G04-cn.html,G04-en.html,星空加減法,Starry Addition and Subtraction,加法和減法;加法;減法;加減法;基本加法和減法;進位;退位;借位;直式;橫式;口算;心算;四則運算;addition;subtraction;arithmetic
math;互動遊戲,Games,free,G05-rock-direction,G05-rock-direction,Games/G05-rock-direction,G05-cn.html,,滾石方向大冒險,,方向;位置;上下左右;前後左右;四個方向;八個方向;東南西北;方位;路線;移動;空間感;圖形與空間;方向遊戲;direction;position;left right;up down;compass points;spatial sense;navigation
math;互動遊戲,Games,free,G06-arithmetic-escape-run,G06-arithmetic-escape-run,Games/G06-arithmetic-escape-run,index.html,index.html,四則衝刺：逃離暴龍,Arithmetic Escape Run,四則運算;加法;減法;乘法;除法;口算;心算;算術;數學遊戲;跑酷;逃離暴龍;恐龍;四則衝刺;小學數學;arithmetic;addition;subtraction;multiplication;division;mental math;math game;escape run;dinosaur
math;教學,Tools,free,T01-three-digit-subtraction,T01-three-digit-subtraction,Tools/T01-three-digit-subtraction,T01-cn.html,T01-en.html,減法借位小達人,Subtraction Borrowing Helper,三位數;減法;退位;借位;直式;驗算;加法驗算;數的大小;估算;subtraction;borrowing;regrouping;three digit
math;教學,Tools,free,T02-decimal-fraction-percent-converter,T02-decimal-fraction-percent-converter,Tools/T02-decimal-fraction-percent-converter,T02-cn.html,T02-en.html,小數、分數、百分數轉換器,"Decimal, Fraction, and Percentage Converter",分數;小數;百分數;百分法;互化;轉換;等值分數;約分;擴分;通分;分數小數互化;小數百分數互化;fraction;decimal;percentage;converter
math;教學,Tools,free,T03-area-formula-discovery-lab,T03-area-formula-discovery-lab,Tools/T03-area-formula-discovery-lab,T03-cn.html,T03-en.html,面積公式實驗室,Area Formula Lab,面積;面積公式;度量公式;長方形;正方形;三角形;平行四邊形;梯形;圓面積;底;高;平面圖形;幾何;area;formula;geometry
math;教學,Tools,free,T04-3d-solid-cross-section-explorer,T04-3d-solid-cross-section-explorer,Tools/T04-3d-solid-cross-section-explorer,T04-cn.html,,立體截面探索器,,立體圖形;立體;截面;切面;剖面;角柱;圓柱;角錐;圓錐;球;正方體;長方體;頂;稜;面;空間感;3D圖形;cross section;solid;3D shape;geometry
math;教學,Tools,free,T05-unit-circle-trig,T05-unit-circle-trig,Tools/T05-unit-circle-trig,T05-cn.html,,單位圓三角函數探索器,,三角學;三角比;三角函數;單位圓;角度;弧度;正弦;餘弦;正切;坐標;函數;函數圖像;週期;trigonometry;unit circle;sine;cosine;tangent
math;教學,Tools,free,T06-trig-wave-visualizer,T06-trig-wave-visualizer,Tools/T06-trig-wave-visualizer,T06-cn.html,,三角函數波形視覺化工具,,三角函數;函數;函數圖像;圖像;波形;週期;振幅;相位;正弦曲線;餘弦曲線;正切曲線;三角學;坐標;visualizer;trigonometric function;wave;sine;cosine;graph
science;教學,Tools,free,S01-Shadow-and-Sunlight-Explorer,S01-Shadow-and-Sunlight-Explorer,STEM_tools/S01-Shadow-and-Sunlight-Explorer,S01-cn.html,,太陽與影子互動模型,Shadow and Sunlight Explorer,太陽;影子;日照;光;光源;日出;日落;中午;方向;東方;西方;影長;STEM;science;shadow;sunlight;sun;model
science;教學,Tools,free,S02-solar-system-discovery,S02-solar-system-discovery,STEM_tools/S02-solar-system-discovery,S02-cn.html,,太陽系探索模型,Solar System Discovery,太陽系;太陽;八大行星;行星;軌道;水星;金星;地球;火星;木星;土星;天王星;海王星;STEM;science;solar system;planet;orbit
science;教學,Tools,free,S03-water-rocket-parachute-challenge,S03-water-rocket-parachute-challenge,STEM_tools/S03-water-rocket-parachute-challenge,S03-cn.html,,水火箭降落傘回收挑戰,,水火箭;STEM;火箭;降落傘;實驗;模擬
AI;教學,Tools,free,A01-teach-ai-to-see-shapes,A01-teach-ai-to-see-shapes,AI_tools/A01-teach-ai-to-see-shapes.html,teach-ai-to-see-shapes.html,,教 AI 看世界,,AI;人工智能;機器學習;圖形辨識;形狀辨識;圖形分類;分類;訓練資料;資料標籤;AI辨識;正方形;長方形;三角形;圓形;幾何圖形;machine learning;shape recognition;classification;training data;data labels;AI vision
AI;教學,Tools,free,A02-ai-classification-detective,A02-ai-classification-detective,AI_tools/A02-ai-classification-detective,ai-classification-detective.html,,AI 分類偵探：資料教會 AI 甚麼？,,AI;人工智能;機器學習;分類;資料分類;訓練資料;資料標籤;資料偏差;錯誤標籤;AI判斷;AI信心;回收分類;三色回收箱;廢紙;金屬;塑膠;環保;recycling;classification;training data;data bias;machine learning;AI confidence
